netlist,innernum,run_count,time_s,cost
alu4,1,122.8,4.4821321052044372,200.05134582519531
apex2,1,122.8,6.4102240097294274,277.56882019042968
apex4,1,119.1,3.5303328123700339,187.42200775146483
b17_1_new_mapped_1x4lut,1,162.3,8340.236881279945,19592.404296875
b18_1_new_mapped_1x4lut,1,163.5,12542.856825339793,23800.286914062501
b18_new_mapped_1x4lut,1,163.2,12080.242872333527,23858.016210937501
b19_1_new_mapped_1x4lut,1,171.0,37513.781105359798,46869.935156250001
bigkey,1,125.9,6.4805458831317084,190.98319854736329
clma,1,135.7,84.886170438471169,1485.2968505859376
des,1,122.7,6.374378302288096,211.26209564208983
diffeq,1,119.3,4.6529194048045612,157.08357543945311
dsip,1,124.6,4.8581711977720259,165.78301696777345
elliptic,1,128.8,18.437437705881894,509.61513366699216
ex1010,1,132.3,27.579734410341917,677.9011291503906
ex5p,1,116.8,2.9315975103167147,168.68747253417968
frisc,1,127.6,17.69716120373123,552.95621337890623
leon3mp_low_fanout_latch_1x4lut,1,175.4,19484.756770658492,17575.779882812501
misex3,1,120.1,4.0267146923015389,196.00773773193359
netcard_low_fanout_latch_1x4lut,1,176.3,21928.685969018938,15785.55615234375
pdc,1,127.9,27.784311877973959,910.75807495117192
s298,1,124.5,5.9386827976002676,217.19564514160157
s38417,1,135.0,52.036470971302336,718.42550659179688
s38584_1,1,134.6,53.591908685219096,704.12282104492192
seq,1,120.4,5.7203977910343387,260.06767883300779
spla,1,127.9,18.822850811760873,635.4283386230469
tseng,1,117.9,2.9606721975549588,101.85768051147461
uoft_raytracer_low_fanout_latch_1x4lut,1,170.22222222222223,12580.649361332258,17982.662543402777
